# Logger type: CL3000
# HW rev: 7.2x
# FW rev: 5.78 / 4.00.03
# Logger ID: id001ezk
# Session No.: 15
# Split No.: 1
# Time: 20190425T172921
# Value separator: " "
# Time format: 5
# Time separator: ":"
# Time separator ms: ":"
# Date separator: "/"
# Time and date separator: " "
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp Type ID Data
04/25 17:29:21:398 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:398 1 d00022 0000000000000000
04/25 17:29:21:398 1 11000022 01bbcc000055034a
04/25 17:29:21:399 1 11420006 0000000f0000c000
04/25 17:29:21:400 1 42406c 408a40006000c00f
04/25 17:29:21:400 1 1000020 00000001cc04c000
04/25 17:29:21:402 1 62401e 02144440fa156400
04/25 17:29:21:402 1 80401e 06000366002b7a00
04/25 17:29:21:403 1 a20016 0519840000636300
04/25 17:29:21:403 1 f00006 000032000000e000
04/25 17:29:21:403 1 1400006 0000000003f30215
04/25 17:29:21:405 1 224024 1c48440013ff0000
04/25 17:29:21:406 1 e24026 0001e0408f000000
04/25 17:29:21:406 1 10004002 80000000c000c000
04/25 17:29:21:406 1 10800006 0080006f00000100
04/25 17:29:21:407 1 10e24000 0000000000000000
04/25 17:29:21:408 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:408 1 d00022 0000000000000000
04/25 17:29:21:410 1 42406c 80e800006000c00f
04/25 17:29:21:410 1 1000020 00000001cc04c000
04/25 17:29:21:410 1 10400020 802947689b370db5
04/25 17:29:21:412 1 62401e 02146440fa156400
04/25 17:29:21:412 1 80401e 1e00036a002b7a00
04/25 17:29:21:412 1 a20016 0019840000636300
04/25 17:29:21:413 1 f00006 000032000000e000
04/25 17:29:21:413 1 1400006 0000000003f30215
04/25 17:29:21:413 1 1600012 000005076e5dc81a
04/25 17:29:21:418 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:418 1 d00022 0000000000000000
04/25 17:29:21:419 1 224024 1848440013ff0000
04/25 17:29:21:420 1 e24026 000160408f000000
04/25 17:29:21:420 1 42406c c08800006000c00f
04/25 17:29:21:420 1 1000020 00000001cc04c000
04/25 17:29:21:421 1 10004002 80000000c000c000
04/25 17:29:21:421 1 11100024 0000000c7e378000
04/25 17:29:21:422 1 62401e 02144440fa156400
04/25 17:29:21:422 1 80401e 0601036a002b7a00
04/25 17:29:21:423 1 a20016 0119840000636300
04/25 17:29:21:423 1 f00006 000032000000e000
04/25 17:29:21:423 1 1400006 0000000003f30215
04/25 17:29:21:428 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:428 1 d00022 0000000000000000
04/25 17:29:21:430 1 42406c 00a800006000c00f
04/25 17:29:21:430 1 1000020 00000001cc04c000
04/25 17:29:21:432 1 62401e 02144440fa156400
04/25 17:29:21:432 1 80401e 1e01036a002b7a00
04/25 17:29:21:433 1 a20016 0019840000636300
04/25 17:29:21:433 1 f00006 000032000000e000
04/25 17:29:21:433 1 1400006 0000000003f30215
04/25 17:29:21:433 1 1600012 400005076e5dc81a
04/25 17:29:21:434 1 224024 1c48440013ff0000
04/25 17:29:21:434 1 e24026 000160408f000000
04/25 17:29:21:434 1 10004002 80000000c000c000
04/25 17:29:21:435 1 10c00002 0000102000000000
04/25 17:29:21:435 1 10a2407c 011ff7172941010a
04/25 17:29:21:438 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:438 1 d00022 0000000000000000
04/25 17:29:21:440 1 42406c 408800006000c00f
04/25 17:29:21:440 1 1000020 00000001cc04c000
04/25 17:29:21:440 1 10400020 c02947689b370db5
04/25 17:29:21:441 1 11220028 23600f3c0100342e
04/25 17:29:21:442 1 62401e 02144440fa156400
04/25 17:29:21:442 1 80401e 06000367002b7a00
04/25 17:29:21:443 1 a20016 0139840000636300
04/25 17:29:21:443 1 f00006 000032000000e000
04/25 17:29:21:443 1 1400006 0000000003f30215
04/25 17:29:21:447 1 224024 1848440013ff0000
04/25 17:29:21:448 1 e24026 000160408f000000
04/25 17:29:21:448 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:448 1 d00022 0000000000000000
